beetle_ID,population,core_edge,weight,weight_date,sex,eclosion
De_236,De,core,9.3,11-Oct,f,10/11/2018
De_238,De,core,10.9,11-Oct,f,10/11/2018
De_240,De,core,9.6,11-Oct,f,10/11/2018
De_243,De,core,9.2,12-Oct,f,10/12/2018
De_245,De,core,8.9,12-Oct,f,10/12/2018
De_231,De,core,9.8,10-Oct,f,10/10/2018
De_222,De,core,9.8,10-Oct,f,10/10/2018
De_223,De,core,11.8,10-Oct,f,10/10/2018
De_237,De,core,11.3,11-Oct,f,10/11/2018
De_212,De,core,8.8,9-Oct,f,10/9/2018
De_242,De,core,9.7,12-Oct,f,10/12/2018
De_244,De,core,8.3,12-Oct,f,10/12/2018
De_235,De,core,11.1,11-Oct,f,10/11/2018
De_246,De,core,10.8,12-Oct,f,10/12/2018
De_214,De,core,11.9,9-Oct,f,10/9/2018
De_224,De,core,10.4,10-Oct,f,10/10/2018
De_229,De,core,10.3,10-Oct,f,10/10/2018
De_230,De,core,8.8,10-Oct,f,10/10/2018
De_239,De,core,9,11-Oct,f,10/11/2018
De_217,De,core,10.9,9-Oct,f,10/9/2018
De_218,De,core,9.1,9-Oct,f,10/9/2018
De_220,De,core,11.4,9-Oct,f,10/9/2018
De_221,De,core,10.9,9-Oct,f,10/9/2018
De_241,De,core,10.3,11-Oct,f,10/11/2018
De_216,De,core,10.3,9-Oct,f,10/9/2018
De_226,De,core,9.7,10-Oct,f,10/10/2018
De_233,De,core,9.9,11-Oct,f,10/11/2018
De_211,De,core,9.6,9-Oct,f,10/9/2018
De_219,De,core,7.2,9-Oct,f,10/9/2018
De_225,De,core,10.6,10-Oct,f,10/10/2018
De_232,De,core,10.5,11-Oct,f,10/11/2018
De_234,De,core,10.2,11-Oct,f,10/11/2018
De_213,De,core,11.2,9-Oct,f,10/9/2018
De_215,De,core,11.4,9-Oct,f,10/9/2018
De_227,De,core,10.4,10-Oct,f,10/10/2018
De_228,De,core,9.5,10-Oct,f,10/10/2018
Hu_157,Hu,core,10.1,9-Oct,f,10/9/2018
Hu_159,Hu,core,11.5,9-Oct,f,10/9/2018
Hu_160,Hu,core,8.7,9-Oct,f,10/9/2018
Hu_161,Hu,core,8.8,9-Oct,f,10/9/2018
Hu_164,Hu,core,10.2,9-Oct,f,10/9/2018
Hu_168,Hu,core,9.4,10-Oct,f,10/10/2018
Hu_181,Hu,core,10.6,12-Oct,f,10/12/2018
Hu_162,Hu,core,9.8,9-Oct,f,10/9/2018
Hu_175,Hu,core,9.1,10-Oct,f,10/10/2018
Hu_166,Hu,core,7.1,9-Oct,f,10/9/2018
Hu_170,Hu,core,10.6,10-Oct,f,10/10/2018
Hu_174,Hu,core,8.8,10-Oct,f,10/10/2018
Hu_163,Hu,core,7.6,9-Oct,f,10/9/2018
Hu_179,Hu,core,10.8,11-Oct,f,10/11/2018
Hu_182,Hu,core,8.2,12-Oct,f,10/12/2018
Hu_167,Hu,core,9.5,10-Oct,f,10/10/2018
Hu_177,Hu,core,9.3,11-Oct,f,10/11/2018
Hu_158,Hu,core,10.1,9-Oct,f,10/9/2018
Hu_165,Hu,core,9.2,9-Oct,f,10/9/2018
Hu_169,Hu,core,10.5,10-Oct,f,10/10/2018
Hu_171,Hu,core,9.7,10-Oct,f,10/10/2018
Hu_172,Hu,core,8.8,10-Oct,f,10/10/2018
Hu_173,Hu,core,8.8,10-Oct,f,10/10/2018
Hu_176,Hu,core,8.6,10-Oct,f,10/10/2018
Hu_178,Hu,core,10.7,11-Oct,f,10/11/2018
Hu_180,Hu,core,9.1,12-Oct,f,10/12/2018
Lo_062,Lo,core,10.4,10-Oct,f,10/10/2018
Lo_063,Lo,core,10.1,10-Oct,f,10/10/2018
Lo_068,Lo,core,8.6,10-Oct,f,10/10/2018
Lo_076,Lo,core,10.3,11-Oct,f,10/11/2018
Lo_082,Lo,core,8.7,12-Oct,f,10/12/2018
Lo_086,Lo,core,6.5,12-Oct,f,10/12/2018
Lo_060,Lo,core,9.2,10-Oct,f,10/10/2018
Lo_084,Lo,core,11.9,12-Oct,f,10/12/2018
Lo_042,Lo,core,9.7,9-Oct,f,10/9/2018
Lo_081,Lo,core,11.6,12-Oct,f,10/12/2018
Lo_083,Lo,core,7.4,12-Oct,f,10/12/2018
Lo_045,Lo,core,9,9-Oct,f,10/9/2018
Lo_046,Lo,core,9.5,9-Oct,f,10/9/2018
Lo_075,Lo,core,10.1,11-Oct,f,10/11/2018
Lo_061,Lo,core,11.2,10-Oct,f,10/10/2018
Lo_069,Lo,core,8.4,10-Oct,f,10/10/2018
Lo_041,Lo,core,10.8,9-Oct,f,10/9/2018
Lo_044,Lo,core,9.4,9-Oct,f,10/9/2018
Lo_047,Lo,core,7.2,9-Oct,f,10/9/2018
Lo_066,Lo,core,9.3,10-Oct,f,10/10/2018
Lo_067,Lo,core,9.7,10-Oct,f,10/10/2018
Lo_073,Lo,core,9.5,11-Oct,f,10/11/2018
Lo_077,Lo,core,11.7,11-Oct,f,10/11/2018
Lo_071,Lo,core,9.8,11-Oct,f,10/11/2018
Lo_085,Lo,core,10.3,12-Oct,f,10/12/2018
Lo_040,Lo,core,8.4,9-Oct,f,10/9/2018
Lo_043,Lo,core,10.2,9-Oct,f,10/9/2018
Lo_064,Lo,core,10.2,10-Oct,f,10/10/2018
Lo_072,Lo,core,10.5,11-Oct,f,10/11/2018
Lo_078,Lo,core,8.7,11-Oct,f,10/11/2018
Lo_079,Lo,core,8.7,11-Oct,f,10/11/2018
Lo_080,Lo,core,11.6,12-Oct,f,10/12/2018
Lo_070,Lo,core,9,11-Oct,f,10/11/2018
Lo_074,Lo,core,10.4,11-Oct,f,10/11/2018
Pu_227,Pu,core,11.3,9-Oct,f,10/9/2018
Pu_230,Pu,core,7.7,10-Oct,f,10/10/2018
Pu_231,Pu,core,10.2,10-Oct,f,10/10/2018
Pu_233,Pu,core,10.3,10-Oct,f,10/10/2018
Pu_234,Pu,core,10.3,10-Oct,f,10/10/2018
Pu_236,Pu,core,6.5,10-Oct,f,10/10/2018
Pu_237,Pu,core,7.8,10-Oct,f,10/10/2018
Pu_238,Pu,core,8.9,10-Oct,f,10/10/2018
Pu_239,Pu,core,7.5,10-Oct,f,10/10/2018
Pu_246,Pu,core,8.2,11-Oct,f,10/11/2018
Pu_250,Pu,core,9.4,12-Oct,f,10/12/2018
Pu_248,Pu,core,8.4,11-Oct,f,10/11/2018
Pu_245,Pu,core,10.1,11-Oct,f,10/11/2018
Pu_220,Pu,core,9.1,9-Oct,f,10/9/2018
Pu_251,Pu,core,10.6,12-Oct,f,10/12/2018
Pu_229,Pu,core,9.4,9-Oct,f,10/9/2018
Pu_235,Pu,core,8.6,10-Oct,f,10/10/2018
Pu_240,Pu,core,7.7,11-Oct,f,10/11/2018
Pu_247,Pu,core,9.2,11-Oct,f,10/11/2018
Pu_228,Pu,core,9,9-Oct,f,10/9/2018
Pu_242,Pu,core,9.6,11-Oct,f,10/11/2018
Pu_221,Pu,core,11.6,9-Oct,f,10/9/2018
Pu_222,Pu,core,7.5,9-Oct,f,10/9/2018
Pu_225,Pu,core,9.8,9-Oct,f,10/9/2018
Pu_244,Pu,core,8.9,11-Oct,f,10/11/2018
Pu_252,Pu,core,10.5,12-Oct,f,10/12/2018
Pu_253,Pu,core,11,12-Oct,f,10/12/2018
Pu_232,Pu,core,12.3,10-Oct,f,10/10/2018
Pu_249,Pu,core,10.1,11-Oct,f,10/11/2018
Pu_243,Pu,core,8,11-Oct,f,10/11/2018
Pu_223,Pu,core,9.6,9-Oct,f,10/9/2018
Pu_224,Pu,core,10.5,9-Oct,f,10/9/2018
Pu_241,Pu,core,9.6,11-Oct,f,10/11/2018
Pu_226,Pu,core,10.5,9-Oct,f,10/9/2018
Bl_243,Bl,edge,9.8,10-Oct,f,10/10/2018
Bl_248,Bl,edge,10.8,10-Oct,f,10/10/2018
Bl_249,Bl,edge,9.2,11-Oct,f,10/11/2018
Bl_258,Bl,edge,10.1,11-Oct,f,10/11/2018
Bl_245,Bl,edge,12.2,10-Oct,f,10/10/2018
Bl_232,Bl,edge,9.3,9-Oct,f,10/9/2018
Bl_233,Bl,edge,10.9,9-Oct,f,10/9/2018
Bl_235,Bl,edge,7.1,9-Oct,f,10/9/2018
Bl_256,Bl,edge,8.2,11-Oct,f,10/11/2018
Bl_244,Bl,edge,9.7,10-Oct,f,10/10/2018
Bl_263,Bl,edge,12.1,12-Oct,f,10/12/2018
Bl_253,Bl,edge,11.1,11-Oct,f,10/11/2018
Bl_260,Bl,edge,10.5,12-Oct,f,10/12/2018
